system,config,llm,execution,f1_serv,f1_inter,yaml_valid,total_tokens,duration_ms
JPetStore,C0,Gemini,1,1.0,0.9412,1,6750,14515.17
Jokul,C0,Gemini,1,1.0,1.0,1,6057,12143.264
PetClinic,C0,Gemini,1,1.0,1.0,1,8013,19510.431
TNTConcept,C0,Gemini,1,0.9231,0.6129,1,4884,8454.079
7ep,C0,Gemini,2,1.0,0.9524,1,5033,8203.45
AcmeAir,C0,Gemini,2,1.0,1.0,1,22593,62160.483
Cargo-Tracker,C0,Gemini,2,0.9091,0.8421,1,5923,12532.222
DayTrader7,C0,Gemini,2,1.0,0.9091,0,9516,22685.367
JPetStore,C0,Gemini,2,1.0,0.9412,1,5989,10977.285
Jokul,C0,Gemini,2,1.0,1.0,1,4854,8084.879
PetClinic,C0,Gemini,2,1.0,1.0,1,7060,16566.482
TNTConcept,C0,Gemini,2,0.9231,0.6154,1,4241,7377.179
7ep,C0,Gemini,3,1.0,0.9524,1,5721,11964.052
AcmeAir,C0,Gemini,3,1.0,1.0,1,5312,12450.018
Cargo-Tracker,C0,Gemini,3,0.9091,0.0,1,5731,10956.118
DayTrader7,C0,Gemini,3,1.0,0.9091,1,6136,12363.483
JPetStore,C0,Gemini,3,1.0,0.9412,1,12266,29438.664
Jokul,C0,Gemini,3,1.0,1.0,1,4388,7347.289
PetClinic,C0,Gemini,3,1.0,1.0,1,5832,12880.359
TNTConcept,C0,Gemini,3,0.9231,0.7536,1,4949,10855.171
7ep,C1,Gemini,1,1.0,0.9524,1,52529,46376.532
AcmeAir,C1,Gemini,1,1.0,1.0,1,42229,35740.283
Cargo-Tracker,C1,Gemini,1,0.9091,0.8421,1,58488,75552.119
DayTrader7,C1,Gemini,1,1.0,0.9091,1,54657,64268.08
JPetStore,C1,Gemini,1,1.0,0.9412,1,54292,60372.113
Jokul,C1,Gemini,1,1.0,1.0,1,39230,28060.375
PetClinic,C1,Gemini,1,1.0,1.0,1,50252,71377.759
